LK36,lesní klub, Lesmír, Horova 973/6  Liberec 1 - Staré město  46001,, skolka@lesmir.cz,,12,50.7791636,15.0770561
LK43,lesní klub, lesní klub Lewandulka, Horova 973/6  46001  Liberec 1,, skolka@lewandulka.cz,,12,50.7791636,15.0770561
LK80,lesní klub, Přírodní klub Mraveniště, Kryštofovo Údolí 76  46001,, stanaham@tiscali.cz,,12,50.7735621,14.9321405
LK47,lesní klub, Lesní klub Mraveneček, Peklo 263,, lesniklubmravenecek@gmail.com,,12,50.6213101,15.6204016
LK40,lesní klub, Lesní klub Hliněnka, Hlinná 49,, ivachovaneckova@seznam.cz,,12,50.572633,14.108083
LK53,lesní klub, Lesní klub Skaláček, Sedmihorky 72  511 01 Turnov,, lk.skalacek@seznam.cz,,12,50.559501287483,15.1875100767211
LK60,lesní klub, Lesní školka KOLEPA, Okna č. p. 3  471 62 Okna,, MyskovaIveta@seznam.cz,,12,50.527873,14.6718915
LK100,lesní klub, V Údolí, Osinalice 24  Liběchov 277 21,, renata.trckova@gmail.com,,12,50.4926895,14.5163521
LK64,lesní klub, Lesní školka Ostružinka, Fügnerova  295 Jičín 506 01,, johanab@seznam.cz,,12,50.4651972,15.3375062
LK73,lesní klub, Lišákovo doupě, Škrétova  508 01 Hořice,, veselesem@gmail.com,,12,50.376465,15.635831
LK89,lesní klub, Skřítkova školka, Na Matysáku 537  551 01  Jaroměř,, info@skritkovaskolka.cz,,12,50.3536657,15.9241518
LK23,lesní klub, Dubínek, asi 200m polní cestou od konce ulice U zastávky  Neratovice,, dubinek@dubinek.cz,,12,50.2483710297455,14.5281383170106
LK7,lesní klub, Chaloupka, Myslbekova ev.č. 7   79001 Jeseník,, chaloupkavlese@post.cz,,12,50.2341522,17.176565
LK42,lesní klub, Lesní klub Lesokruh, Borská 1136  Třebechovice pod Orebem,, lesokruh@gmail.com,,12,50.1958575,16.0015853
LK9,lesní klub, Dětský klub Klíček, M. Švabinského 371  Brandýs nad Labem - Stará Boleslav,, klubklicek@gmail.com,,12,50.194027,14.670553
LK67,lesní klub, Lesní školka Svatošky,areál "Dětský ráj Svatošky"  Doubí  Karlovy Vary,, martina@svatosky-skolka.cz,,12,50.1933612,12.8144933999999
LK33,lesní klub, Kulíšek Libčice, Pod Hájem 710  Libčice nad Vltavou,, evycce@seznam.cz,,12,50.1929341,14.3489397
